Location,Type,N_Rent_Households_18,Overall_Burden_Rate_18,Moderate_Burden_Rate_18,Severe_Burden_Rate_18,N_Burden_Overall_18,N_Burden_Moderate_18,N_Burden_Severe_18,Median_Rent_18,Median_Renter_Income_18,N_Rent_Households_17,Overall_Burden_Rate_17,Moderate_Burden_Rate_17,Severe_Burden_Rate_17,N_Burden_Overall_17,N_Burden_Moderate_17,N_Burden_Severe_17,Median_Rent_17,Median_Renter_Income_17,N_Rent_Households_08,Overall_Burden_Rate_08,Moderate_Burden_Rate_08,Severe_Burden_Rate_08,N_Burden_Overall_08,N_Burden_Moderate_08,N_Burden_Severe_08,Median_Rent_08,Median_Renter_Income_08,N_Rent_Households_change_17_18,Overall_Burden_Rate_change_17_18,Moderate_Burden_Rate_change_17_18,Severe_Burden_Rate_change_17_18,N_Burden_Overall_change_17_18,N_Burden_Moderate_change_17_18,N_Burden_Severe_change_17_18,Median_Rent_change_17_18,Median_Renter_Income_change_17_18,N_Rent_Households_change_08_18,Overall_Burden_Rate_change_08_18,Moderate_Burden_Rate_change_08_18,Severe_Burden_Rate_change_08_18,N_Burden_Overall_change_08_18,N_Burden_Moderate_change_08_18,N_Burden_Severe_change_08_18,Median_Rent_change_08_18
"Holland, MI",Metro,6486,0.348,0.234,0.114,2258,1518,740,872,35405,0.359,0.181,0.178,2281,1151,1130,834,33103,16880,0.445,0.147,0.299,7520,2474,5046,843,39208,139,-0.011,0.053,-0.064,-23,367,-390,0.045,0.07,-10394,-0.097,0.087,-0.185,-5262,-956,-4306,0.035,-0.097
"Homosassa Springs, FL",Metro,9615,0.598,0.238,0.36,5748,2284,3464,880,27511,0.507,0.334,0.173,4984,3283,1701,801,32372,7959,0.516,0.29,0.227,4109,2306,1803,881,37075,-210,0.091,-0.097,0.187,764,-999,1763,0.098,-0.15,1656,0.082,-0.052,0.134,1639,-22,1661,-0.001,-0.258
"Honolulu, HI",Metro,127533,0.55,0.284,0.267,70188,36182,34006,1726,60326,0.584,0.291,0.293,75216,37482,37734,1761,60295,117084,0.562,0.271,0.291,65852,31726,34126,1467,54945,-1257,-0.034,-0.007,-0.026,-5028,-1300,-3728,-0.02,0.001,10449,-0.012,0.013,-0.025,4336,4456,-120,0.177,0.098
"Hot Springs, AR",Metro,12173,0.43,0.201,0.229,5236,2452,2784,790,34537,0.492,0.215,0.277,5797,2534,3263,714,27042,9750,0.509,0.247,0.262,4961,2407,2554,732,25377,392,-0.062,-0.014,-0.048,-561,-82,-479,0.107,0.277,2423,-0.079,-0.045,-0.033,275,45,230,0.079,0.361
"Houma, LA",Metro,15792,0.419,0.25,0.169,6615,3950,2665,816,31469,0.506,0.291,0.216,8856,5082,3774,812,27870,13410,0.43,0.206,0.224,5770,2761,3009,749,34356,-1693,-0.088,-0.041,-0.047,-2241,-1132,-1109,0.005,0.129,2382,-0.011,0.044,-0.056,845,1189,-344,0.089,-0.084
"Houston, TX",Metro,879696,0.493,0.248,0.245,434102,218502,215600,1094,42822,0.484,0.244,0.241,414434,208642,205792,1071,42928,678357,0.459,0.25,0.209,311672,169754,141918,943,38432,24144,0.009,0.005,0.005,19668,9860,9808,0.022,-0.002,201339,0.034,-0.002,0.036,122430,48748,73682,0.161,0.114
"Huntington, WV",Metro,30542,0.516,0.236,0.28,15768,7217,8551,732,24969,0.559,0.247,0.312,19752,8744,11008,701,20283,31315,0.515,0.256,0.259,16117,8001,8116,648,23053,-4791,-0.043,-0.011,-0.032,-3984,-1527,-2457,0.043,0.231,-773,0.002,-0.019,0.021,-349,-784,435,0.129,0.083
"Huntsville, AL",Metro,52901,0.438,0.232,0.206,23147,12261,10886,834,35481,0.439,0.228,0.211,23643,12276,11367,806,33385,38603,0.459,0.241,0.218,17701,9288,8413,760,33614,-967,-0.001,0.004,-0.005,-496,-15,-481,0.034,0.063,14298,-0.021,-0.009,-0.012,5446,2973,2473,0.097,0.056
"Idaho Falls, ID",Metro,14829,0.393,0.223,0.17,5833,3308,2525,805,39114,0.538,0.293,0.245,6884,3746,3138,819,31448,10876,0.487,0.316,0.171,5297,3439,1858,788,36547,2029,-0.144,-0.07,-0.075,-1051,-438,-613,-0.017,0.244,3953,-0.094,-0.093,-0.001,536,-131,667,0.021,0.07
"Indiana, PA",Metro,8306,0.508,0.308,0.2,4223,2559,1664,679,24841,0.508,0.204,0.304,4636,1859,2777,697,24657,9141,0.465,0.168,0.296,4248,1540,2708,698,18232,-821,0,0.104,-0.104,-413,700,-1113,-0.026,0.007,-835,0.044,0.14,-0.096,-25,1019,-1044,-0.027,0.362
"Indianapolis, IN",Metro,259473,0.472,0.245,0.227,122465,63479,58986,907,37099,0.474,0.252,0.222,117087,62207,54880,911,36727,192059,0.478,0.256,0.223,91883,49140,42743,845,36797,12521,-0.002,-0.007,0.005,5378,1272,4106,-0.005,0.01,67414,-0.006,-0.011,0.005,30582,14339,16243,0.073,0.008
"Iowa City, IA",Metro,26254,0.502,0.177,0.325,13168,4636,8532,968,34463,0.545,0.218,0.327,12779,5106,7673,970,32971,19190,0.53,0.225,0.305,10165,4315,5850,805,28595,2822,-0.044,-0.041,-0.002,389,-470,859,-0.002,0.045,7064,-0.028,-0.048,0.02,3003,321,2682,0.202,0.205
"Ithaca, NY",Metro,16541,0.611,0.233,0.379,10110,3848,6262,1153,32095,0.614,0.19,0.424,10416,3228,7188,1152,31839,15911,0.593,0.278,0.315,9432,4418,5014,956,30921,-426,-0.003,0.042,-0.045,-306,620,-926,0.001,0.008,630,0.018,-0.045,0.063,678,-570,1248,0.206,0.038
"Jackson, MI",Metro,15629,0.473,0.261,0.212,7394,4075,3319,805,30174,0.472,0.247,0.225,7045,3693,3352,752,27312,12856,0.483,0.172,0.31,6204,2214,3990,808,24521,706,0.001,0.013,-0.012,349,382,-33,0.071,0.105,2773,-0.009,0.089,-0.098,1190,1861,-671,-0.003,0.231
"Jackson, MS",Metro,61642,0.433,0.237,0.197,26699,14586,12113,873,35586,0.458,0.21,0.248,27926,12779,15147,881,33374,54515,0.543,0.24,0.303,29595,13077,16518,866,31574,671,-0.025,0.027,-0.052,-1227,1807,-3034,-0.01,0.066,7127,-0.11,-0.003,-0.106,-2896,1509,-4405,0.008,0.127
"Jackson, TN",Metro,17378,0.505,0.287,0.218,8772,4982,3790,761,27697,0.499,0.235,0.263,7302,3444,3858,858,27074,11782,0.552,0.249,0.304,6508,2928,3580,780,24264,2733,0.006,0.052,-0.045,1470,1538,-68,-0.113,0.023,5596,-0.048,0.038,-0.086,2264,2054,210,-0.024,0.141
"Jacksonville, FL",Metro,197167,0.502,0.273,0.229,98889,53796,45093,1082,41515,0.499,0.274,0.225,92988,51115,41873,1060,40827,150202,0.502,0.279,0.223,75398,41931,33467,1035,40277,10948,0.002,-0.002,0.004,5901,2681,3220,0.02,0.017,46965,0,-0.006,0.006,23491,11865,11626,0.045,0.031
"Jacksonville, NC",Metro,29115,0.456,0.283,0.172,13265,8254,5011,995,40989,0.384,0.234,0.15,10322,6294,4028,1086,45716,19339,0.347,0.228,0.119,6707,4415,2292,866,36285,2217,0.072,0.05,0.022,2943,1960,983,-0.084,-0.103,9776,0.109,0.055,0.054,6558,3839,2719,0.149,0.13
"Jamestown, NY",Metro,15014,0.549,0.277,0.272,8238,4156,4082,646,23011,0.536,0.215,0.321,7564,3031,4533,662,23281,15496,0.427,0.174,0.254,6621,2691,3930,662,26410,901,0.013,0.062,-0.049,674,1125,-451,-0.025,-0.012,-482,0.121,0.103,0.018,1617,1465,152,-0.024,-0.129
"Janesville, WI",Metro,20941,0.396,0.218,0.179,8303,4561,3742,832,40134,0.464,0.239,0.225,9610,4947,4663,823,32996,15743,0.522,0.293,0.229,8222,4614,3608,822,36338,231,-0.068,-0.021,-0.046,-1307,-386,-921,0.011,0.216,5198,-0.126,-0.075,-0.05,81,-53,134,0.012,0.104
"Jefferson City, MO",Metro,15263,0.434,0.309,0.125,6626,4720,1906,636,34102,0.365,0.185,0.181,5009,2532,2477,658,30595,12988,0.21,0.096,0.114,2728,1248,1480,637,32189,1542,0.069,0.125,-0.056,1617,2188,-571,-0.034,0.115,2275,0.224,0.213,0.011,3898,3472,426,-0.002,0.059
"Johnson City, TN",Metro,26121,0.41,0.229,0.181,10720,5988,4732,702,28578,0.49,0.291,0.199,12265,7280,4985,677,24357,19201,0.447,0.168,0.279,8577,3217,5360,617,26213,1110,-0.08,-0.062,-0.018,-1545,-1292,-253,0.037,0.173,6920,-0.036,0.062,-0.098,2143,2771,-628,0.138,0.09
"Johnstown, PA",Metro,11788,0.423,0.173,0.249,4981,2042,2939,620,26005,0.474,0.298,0.177,5647,3543,2104,618,23581,14462,0.445,0.247,0.198,6431,3574,2857,549,21082,-119,-0.052,-0.124,0.073,-666,-1501,835,0.003,0.103,-2674,-0.022,-0.074,0.052,-1450,-1532,82,0.13,0.234
"Jonesboro, AR",Metro,20336,0.465,0.261,0.205,9461,5299,4162,725,25231,0.416,0.218,0.198,7482,3923,3559,754,33613,14273,0.501,0.21,0.291,7149,2992,4157,643,20073,2346,0.049,0.043,0.007,1979,1376,603,-0.038,-0.249,6063,-0.036,0.051,-0.087,2312,2307,5,0.127,0.257
"Joplin, MO",Metro,22421,0.47,0.266,0.204,10544,5963,4581,753,31809,0.466,0.249,0.218,9668,5154,4514,735,31492,19915,0.474,0.258,0.216,9448,5142,4306,658,25826,1688,0.004,0.017,-0.013,876,809,67,0.024,0.01,2506,-0.004,0.008,-0.012,1096,821,275,0.144,0.232
"Kahului, HI",Metro,17126,0.471,0.174,0.297,8062,2979,5083,1667,58431,0.495,0.246,0.249,9791,4874,4917,1462,53085,18831,0.56,0.299,0.261,10542,5636,4906,1558,59201,-2651,-0.024,-0.073,0.048,-1729,-1895,166,0.141,0.101,-1705,-0.089,-0.125,0.036,-2480,-2657,177,0.07,-0.013
"Kalamazoo, MI",Metro,40938,0.472,0.261,0.21,19307,10702,8605,799,34349,0.416,0.212,0.204,17135,8740,8395,792,36309,35713,0.534,0.261,0.273,19070,9330,9740,764,27020,-223,0.055,0.049,0.006,2172,1962,210,0.009,-0.054,5225,-0.062,0,-0.063,237,1372,-1135,0.046,0.271
"Kalispell, MT",Metro,9533,0.496,0.21,0.286,4728,2002,2726,937,32817,0.328,0.195,0.133,2618,1554,1064,747,39507,7226,0.589,0.358,0.232,4259,2584,1675,765,37104,1553,0.168,0.015,0.153,2110,448,1662,0.255,-0.169,2307,-0.093,-0.148,0.054,469,-582,1051,0.225,-0.116
"Kankakee, IL",Metro,12433,0.583,0.313,0.27,7244,3886,3358,864,30366,0.485,0.249,0.236,5769,2964,2805,815,33103,11686,0.522,0.268,0.254,6103,3134,2969,811,30136,536,0.098,0.063,0.034,1475,922,553,0.061,-0.083,747,0.06,0.044,0.016,1141,752,389,0.065,0.008
"Kansas City, MO",Metro,276092,0.448,0.239,0.209,123585,65921,57664,968,40976,0.433,0.246,0.186,120186,68442,51744,962,40921,227513,0.429,0.225,0.204,97567,51151,46416,865,36673,-1782,0.015,-0.008,0.023,3399,-2521,5920,0.007,0.001,48579,0.019,0.014,0.005,26018,14770,11248,0.119,0.117
"Keene, NH",Metro,9134,0.47,0.253,0.217,4290,2309,1981,900,33060,0.471,0.292,0.179,3826,2371,1455,970,38541,7685,0.526,0.332,0.194,4045,2554,1491,1026,41897,1017,-0.002,-0.039,0.038,464,-62,526,-0.072,-0.142,1449,-0.057,-0.08,0.023,245,-245,490,-0.123,-0.211
"Kennewick, WA",Metro,30312,0.446,0.287,0.159,13526,8703,4823,948,40809,0.431,0.217,0.215,13148,6606,6542,972,42928,22435,0.52,0.258,0.262,11674,5799,5875,805,32916,-174,0.015,0.07,-0.055,378,2097,-1719,-0.025,-0.049,7877,-0.074,0.029,-0.103,1852,2904,-1052,0.177,0.24
"Key West, FL",Metro,10465,0.636,0.347,0.29,6660,3629,3031,1691,48658,0.572,0.32,0.252,7470,4183,3287,1594,55151,8669,0.591,0.353,0.238,5127,3063,2064,1350,53445,-2593,0.064,0.026,0.038,-810,-554,-256,0.061,-0.118,1796,0.045,-0.007,0.052,1533,566,967,0.253,-0.09
"Killeen, TX",Metro,62804,0.432,0.241,0.191,27151,15133,12018,894,39695,0.433,0.255,0.178,26466,15594,10872,928,40629,46569,0.468,0.294,0.174,21797,13683,8114,935,38674,1717,-0.001,-0.014,0.013,685,-461,1146,-0.036,-0.023,16235,-0.036,-0.053,0.017,5354,1450,3904,-0.044,0.026
"Kingsport, TN",Metro,28595,0.44,0.231,0.209,12586,6611,5975,625,25641,0.418,0.195,0.223,12605,5891,6714,647,26548,28469,0.371,0.211,0.16,10564,6020,4544,585,27490,-1556,0.022,0.036,-0.014,-19,720,-739,-0.034,-0.034,126,0.069,0.02,0.049,2022,591,1431,0.068,-0.067
"Kingston, NY",Metro,20645,0.549,0.256,0.293,11331,5287,6044,1163,39809,0.546,0.21,0.336,10386,3993,6393,1108,39878,22231,0.562,0.233,0.329,12499,5176,7323,1102,41664,1611,0.003,0.046,-0.043,945,1294,-349,0.05,-0.002,-1586,-0.013,0.023,-0.037,-1168,111,-1279,0.055,-0.045
"Klamath Falls, OR",Metro,9181,0.501,0.19,0.311,4596,1743,2853,758,30186,0.59,0.283,0.307,5086,2437,2649,744,26850,8176,0.421,0.165,0.255,3439,1351,2088,713,38155,558,-0.089,-0.093,0.004,-490,-694,204,0.019,0.124,1005,0.08,0.025,0.055,1157,392,765,0.064,-0.209
"Knoxville, TN",Metro,97920,0.475,0.254,0.22,46466,24892,21574,816,32846,0.441,0.244,0.197,44289,24525,19764,826,33138,76046,0.452,0.21,0.242,34338,15935,18403,782,32325,-2570,0.034,0.01,0.024,2177,367,1810,-0.012,-0.009,21874,0.023,0.045,-0.022,12128,8957,3171,0.043,0.016
"Kokomo, IN",Metro,10891,0.391,0.13,0.261,4255,1413,2842,693,32159,0.421,0.166,0.255,3893,1535,2358,708,32351,10785,0.403,0.185,0.218,4345,1995,2350,703,30077,1646,-0.03,-0.036,0.006,362,-122,484,-0.021,-0.006,106,-0.012,-0.055,0.043,-90,-582,492,-0.014,0.069
"La Crosse, WI",Metro,19096,0.424,0.206,0.218,8093,3928,4165,858,35458,0.387,0.212,0.175,7588,4158,3430,825,38696,15542,0.457,0.259,0.198,7108,4023,3085,795,33074,-526,0.037,-0.006,0.043,505,-230,735,0.04,-0.084,3554,-0.034,-0.053,0.02,985,-95,1080,0.079,0.072
"Lafayette, IN",Metro,32781,0.543,0.256,0.287,17787,8391,9396,833,30324,0.522,0.232,0.29,15090,6713,8377,806,28636,26894,0.52,0.184,0.337,13997,4941,9056,791,26559,3896,0.02,0.024,-0.003,2697,1678,1019,0.033,0.059,5887,0.022,0.072,-0.05,3790,3450,340,0.054,0.142
"Lafayette, LA",Metro,49276,0.49,0.226,0.264,24127,11127,13000,797,26803,0.533,0.257,0.277,24351,11725,12626,763,25296,27695,0.418,0.206,0.212,11589,5709,5880,778,34212,3614,-0.044,-0.031,-0.013,-224,-598,374,0.044,0.06,21581,0.071,0.02,0.052,12538,5418,7120,0.024,-0.217
"Lake Charles, LA",Metro,24012,0.433,0.26,0.173,10408,6247,4161,824,31899,0.554,0.292,0.262,12160,6413,5747,835,29632,18020,0.457,0.203,0.254,8238,3660,4578,797,29737,2043,-0.12,-0.032,-0.088,-1752,-166,-1586,-0.013,0.076,5992,-0.024,0.057,-0.081,2170,2587,-417,0.034,0.073
"Lake City, FL",Metro,6103,0.412,0.256,0.155,2512,1564,948,850,39137,0.405,0.256,0.148,2035,1289,746,830,33905,6679,0.482,0.209,0.273,3218,1393,1825,784,35997,1075,0.007,0,0.007,477,275,202,0.024,0.154,-576,-0.07,0.048,-0.118,-706,171,-877,0.084,0.087
"Lake Havasu City, AZ",Metro,22955,0.425,0.222,0.203,9755,5086,4669,798,34531,0.488,0.315,0.173,11197,7222,3975,805,33898,21494,0.506,0.248,0.258,10874,5332,5542,986,38384,-7,-0.063,-0.093,0.03,-1442,-2136,694,-0.009,0.019,1461,-0.081,-0.027,-0.054,-1119,-246,-873,-0.191,-0.1
"Lakeland, FL",Metro,67486,0.462,0.255,0.206,31154,17242,13912,961,40511,0.503,0.257,0.246,35078,17906,17172,965,37107,63348,0.515,0.262,0.252,32595,16616,15979,963,41959,-2243,-0.041,-0.001,-0.04,-3924,-664,-3260,-0.004,0.092,4138,-0.053,-0.007,-0.046,-1441,626,-2067,-0.002,-0.035
"Lancaster, PA",Metro,62321,0.479,0.263,0.216,29842,16372,13470,975,41675,0.453,0.236,0.218,28198,14657,13541,1005,41569,52219,0.45,0.252,0.198,23506,13160,10346,883,38107,122,0.025,0.027,-0.002,1644,1715,-71,-0.03,0.003,10102,0.029,0.011,0.018,6336,3212,3124,0.104,0.094
"Lansing, MI",Metro,61286,0.507,0.217,0.29,31066,13310,17756,863,31523,0.467,0.223,0.244,29062,13862,15200,867,34655,49214,0.511,0.21,0.301,25135,10340,14795,828,27561,-980,0.04,-0.005,0.046,2004,-552,2556,-0.005,-0.09,12072,-0.004,0.007,-0.011,5931,2970,2961,0.042,0.144
"Laredo, TX",Metro,26607,0.493,0.23,0.263,13116,6108,7008,857,31806,0.535,0.302,0.233,13616,7679,5937,824,28659,20430,0.502,0.256,0.247,10258,5220,5038,763,25749,1166,-0.042,-0.072,0.03,-500,-1571,1071,0.04,0.11,6177,-0.009,-0.026,0.017,2858,888,1970,0.124,0.235
"Las Cruces, NM",Metro,29136,0.553,0.291,0.262,16109,8481,7628,678,22846,0.506,0.215,0.291,12033,5117,6916,736,24044,21676,0.581,0.303,0.277,12583,6574,6009,720,25395,5367,0.047,0.076,-0.029,4076,3364,712,-0.079,-0.05,7460,-0.028,-0.012,-0.015,3526,1907,1619,-0.058,-0.1
"Las Vegas, NV",Metro,350111,0.532,0.272,0.26,186204,95192,91012,1130,41219,0.492,0.249,0.243,167086,84672,82414,1110,43377,274962,0.502,0.273,0.23,138085,74978,63107,1237,49821,10517,0.04,0.023,0.017,19118,10520,8598,0.018,-0.05,75149,0.03,-0.001,0.03,48119,20214,27905,-0.086,-0.173
"Laurel, MS",Metro,5664,0.391,0.2,0.191,2212,1131,1081,687,29084,0.506,0.222,0.284,3011,1319,1692,729,21120,6438,0.493,0.295,0.198,3174,1898,1276,743,21921,-290,-0.115,-0.022,-0.093,-799,-188,-611,-0.058,0.377,-774,-0.102,-0.095,-0.007,-962,-767,-195,-0.075,0.327
"Lawrence, KS",Metro,22055,0.506,0.194,0.312,11154,4283,6871,968,36540,0.523,0.223,0.3,11556,4926,6630,909,33105,19067,0.492,0.137,0.355,9382,2618,6764,873,26885,-39,-0.017,-0.029,0.011,-402,-643,241,0.065,0.104,2988,0.014,0.057,-0.043,1772,1665,107,0.109,0.359
"Lawton, OK",Metro,17980,0.394,0.222,0.173,7090,3985,3105,803,38675,0.475,0.266,0.208,9246,5187,4059,808,36259,14693,0.494,0.236,0.258,7260,3471,3789,744,29061,-1502,-0.08,-0.045,-0.036,-2156,-1202,-954,-0.007,0.067,3287,-0.1,-0.015,-0.085,-170,514,-684,0.079,0.331
"Lebanon, PA",Metro,15316,0.448,0.215,0.232,6857,3298,3559,907,40013,0.449,0.248,0.2,6728,3724,3004,839,34689,12503,0.497,0.258,0.239,6213,3230,2983,737,34023,324,-0.001,-0.033,0.032,129,-426,555,0.081,0.153,2813,-0.049,-0.043,-0.006,644,68,576,0.231,0.176
"Lewiston, ME",Metro,16615,0.43,0.226,0.204,7151,3760,3391,774,33248,0.447,0.245,0.201,6461,3550,2911,708,23686,13266,0.44,0.209,0.231,5837,2779,3058,744,29852,2154,-0.016,-0.019,0.003,690,210,480,0.094,0.404,3349,-0.01,0.017,-0.026,1314,981,333,0.04,0.114
"Lexington, KY",Metro,76660,0.456,0.231,0.224,34919,17735,17184,885,37597,0.447,0.207,0.24,34026,15741,18285,840,33198,66962,0.459,0.211,0.248,30729,14122,16607,791,32296,545,0.008,0.025,-0.016,893,1994,-1101,0.053,0.132,9698,-0.003,0.02,-0.024,4190,3613,577,0.12,0.164
"Lima, OH",Metro,13740,0.425,0.222,0.203,5838,3048,2790,691,31806,0.461,0.173,0.288,6033,2262,3771,654,30449,11000,0.507,0.202,0.306,5582,2220,3362,710,30614,659,-0.036,0.049,-0.085,-195,786,-981,0.056,0.045,2740,-0.083,0.02,-0.103,256,828,-572,-0.027,0.039
"Lincoln, NE",Metro,50394,0.396,0.17,0.226,19951,8576,11375,840,40193,0.428,0.257,0.171,19889,11943,7946,834,37512,38165,0.45,0.24,0.211,17187,9145,8042,765,32221,3884,-0.032,-0.087,0.055,62,-3367,3429,0.007,0.071,12229,-0.054,-0.069,0.015,2764,-569,3333,0.098,0.247
"Little Rock, AR",Metro,92908,0.502,0.253,0.249,46638,23522,23116,821,31845,0.477,0.26,0.216,45431,24815,20616,834,34060,87919,0.506,0.238,0.268,44477,20913,23564,817,32207,-2424,0.025,-0.007,0.033,1207,-1293,2500,-0.016,-0.065,4989,-0.004,0.015,-0.019,2161,2609,-448,0.005,-0.011
"Logan, UT",Metro,14661,0.487,0.264,0.224,7145,3866,3279,799,33007,0.515,0.26,0.254,7453,3773,3680,820,32156,12111,0.379,0.218,0.161,4589,2643,1946,752,32213,177,-0.027,0.003,-0.03,-308,93,-401,-0.025,0.026,2550,0.108,0.045,0.063,2556,1223,1333,0.063,0.025
"Longview, TX",Metro,22614,0.474,0.247,0.227,10729,5589,5140,817,34585,0.474,0.249,0.225,10411,5463,4948,842,32909,23580,0.325,0.195,0.13,7658,4600,3058,761,32903,655,0,-0.002,0.002,318,126,192,-0.03,0.051,-966,0.15,0.052,0.098,3071,989,2082,0.073,0.051
"Longview, WA",Metro,12977,0.499,0.303,0.196,6476,3927,2549,803,35993,0.504,0.244,0.26,6559,3175,3384,835,29868,11351,0.479,0.302,0.177,5439,3429,2010,782,32894,-49,-0.004,0.059,-0.063,-83,752,-835,-0.039,0.205,1626,0.02,0.001,0.019,1037,498,539,0.027,0.094
"Los Angeles, CA",Metro,2148297,0.569,0.272,0.297,1221644,583684,637960,1565,52426,0.578,0.277,0.301,1233817,591079,642738,1518,51355,1937894,0.564,0.273,0.291,1092268,528481,563787,1339,47604,12169,-0.009,-0.005,-0.004,-12173,-7395,-4778,0.031,0.021,210403,0.005,-0.001,0.006,129376,55203,74173,0.169,0.101
"Louisville, KY",Metro,156464,0.463,0.232,0.231,72463,36247,36216,850,34416,0.419,0.226,0.193,64396,34689,29707,841,36536,136436,0.456,0.221,0.236,62255,30096,32159,755,31192,2728,0.044,0.006,0.038,8067,1558,6509,0.01,-0.058,20028,0.007,0.011,-0.004,10208,6151,4057,0.125,0.103
"Lubbock, TX",Metro,48018,0.594,0.256,0.338,28516,12280,16236,908,29735,0.612,0.295,0.317,30042,14481,15561,903,28537,36264,0.533,0.267,0.266,19324,9679,9645,887,33397,-1084,-0.018,-0.039,0.021,-1526,-2201,675,0.005,0.042,11754,0.061,-0.011,0.072,9192,2601,6591,0.024,-0.11
"Lufkin, TX",Metro,9656,0.535,0.29,0.245,5164,2802,2362,849,31573,0.561,0.299,0.262,5551,2962,2589,798,25814,9124,0.516,0.245,0.271,4707,2233,2474,811,35239,-242,-0.026,-0.009,-0.017,-387,-160,-227,0.064,0.223,532,0.019,0.045,-0.027,457,569,-112,0.047,-0.104
"Lumberton, NC",Metro,12992,0.472,0.255,0.217,6126,3309,2817,627,26060,0.5,0.279,0.22,6521,3643,2878,625,22234,11093,0.433,0.225,0.207,4798,2500,2298,645,23269,-62,-0.028,-0.024,-0.004,-395,-334,-61,0.003,0.172,1899,0.039,0.029,0.01,1328,809,519,-0.027,0.12
"Lynchburg, VA",Metro,28485,0.508,0.316,0.192,14473,8994,5479,788,29172,0.458,0.274,0.185,12031,7180,4851,799,32971,23435,0.425,0.215,0.21,9951,5032,4919,698,31037,2237,0.05,0.042,0.008,2442,1814,628,-0.014,-0.115,5050,0.083,0.101,-0.018,4522,3962,560,0.129,-0.06
"Macon, GA",Metro,31065,0.535,0.246,0.289,16625,7645,8980,780,26722,0.502,0.262,0.24,14351,7497,6854,800,27763,27754,0.543,0.239,0.304,15070,6640,8430,727,23982,2449,0.034,-0.016,0.05,2274,148,2126,-0.025,-0.038,3311,-0.008,0.007,-0.015,1555,1005,550,0.072,0.114
"Madera, CA",Metro,14637,0.441,0.216,0.225,6456,3159,3297,947,40127,0.635,0.31,0.325,8447,4119,4328,1022,32855,14733,0.568,0.298,0.27,8369,4392,3977,923,33854,1333,-0.194,-0.094,-0.1,-1991,-960,-1031,-0.074,0.221,-96,-0.127,-0.082,-0.045,-1913,-1233,-680,0.026,0.185
"Madison, WI",Metro,103549,0.446,0.235,0.211,46195,24376,21819,1063,44697,0.449,0.213,0.236,45141,21403,23738,1038,43148,76578,0.467,0.239,0.228,35744,18307,17437,971,39605,3115,-0.003,0.022,-0.026,1054,2973,-1919,0.024,0.036,26971,-0.021,-0.004,-0.017,10451,6069,4382,0.095,0.129
"Manchester, NH",Metro,53239,0.486,0.249,0.237,25852,13252,12600,1165,43094,0.454,0.24,0.213,24472,12973,11499,1165,47583,44285,0.476,0.284,0.192,21101,12595,8506,1183,44572,-721,0.032,0.008,0.024,1380,279,1101,0,-0.094,8954,0.009,-0.035,0.045,4751,657,4094,-0.016,-0.033
"Manhattan, KS",Metro,17050,0.582,0.256,0.326,9923,4369,5554,862,30264,0.542,0.299,0.243,8907,4917,3990,916,37395,17961,0.517,0.241,0.277,9294,4324,4970,805,29578,608,0.04,-0.043,0.083,1016,-548,1564,-0.059,-0.191,-911,0.065,0.016,0.049,629,45,584,0.071,0.023
"Manitowoc, WI",Metro,8293,0.305,0.199,0.106,2530,1654,876,616,30201,0.351,0.211,0.14,2677,1612,1065,678,37590,8473,0.35,0.182,0.168,2964,1539,1425,654,34213,660,-0.046,-0.012,-0.034,-147,42,-189,-0.091,-0.197,-180,-0.045,0.018,-0.063,-434,115,-549,-0.059,-0.117
"Mankato, MN",Metro,12242,0.486,0.187,0.299,5953,2292,3661,843,34575,0.554,0.294,0.259,6981,3713,3268,879,32200,10489,0.473,0.235,0.237,4957,2466,2491,782,32488,-370,-0.067,-0.107,0.04,-1028,-1421,393,-0.041,0.074,1753,0.014,-0.048,0.062,996,-174,1170,0.078,0.064
"Mansfield, OH",Metro,14786,0.439,0.206,0.233,6485,3040,3445,656,26971,0.428,0.223,0.205,6384,3329,3055,613,28482,13037,0.483,0.266,0.217,6295,3462,2833,675,29371,-142,0.011,-0.017,0.028,101,-289,390,0.07,-0.053,1749,-0.044,-0.06,0.016,190,-422,612,-0.028,-0.082
"Marinette, WI",Metro,5393,0.409,0.196,0.213,2207,1056,1151,653,26615,0.451,0.249,0.201,2697,1492,1205,643,24562,5754,0.508,0.15,0.358,2924,862,2062,630,35813,-591,-0.041,-0.054,0.012,-490,-436,-54,0.016,0.084,-361,-0.099,0.046,-0.145,-717,194,-911,0.037,-0.257
"Marion, IN",Metro,6102,0.426,0.203,0.223,2600,1237,1363,651,25428,0.492,0.273,0.219,3657,2031,1626,725,27397,7994,0.46,0.24,0.22,3679,1922,1757,663,29866,-1324,-0.066,-0.071,0.004,-1057,-794,-263,-0.102,-0.072,-1892,-0.034,-0.038,0.004,-1079,-685,-394,-0.018,-0.149
"Marion, OH",Metro,7283,0.515,0.267,0.248,3754,1946,1808,711,28433,0.475,0.212,0.264,3515,1564,1951,716,29152,7148,0.517,0.194,0.322,3692,1388,2304,746,27496,-111,0.04,0.056,-0.016,239,382,-143,-0.007,-0.025,135,-0.001,0.073,-0.074,62,558,-496,-0.046,0.034
